vrebs_en,vreb_ar,words1,mean1,mean2,mean3,mean4,mean_ar_1,mean_ar_2,mean_ar_3,mean_ar_4,,id,stats
wait,انتظر,wait,stay where one is or delay action until a particular time or event occurs,They waited for the bus.,She waits for her turn patiently.,We will wait for your arrival.,ابق حيث يكون المرء أو تأخير العمل حتى يحدث وقت أو حدث معين,انتظروا الحافلة.,تنتظر دورها بصبر.,سننتظر وصولك.,,184,0
cancel,يلغي,cancel,decide not to conduct or perform (something planned or expected),He canceled the meeting.,She cancels the subscription online.,We will cancel the event due to weather.,قرر عدم إجراء أو أداء (شيء مخطط أو متوقع),ألغى الاجتماع.,انها تلغي الاشتراك عبر الإنترنت.,سنقوم بإلغاء الحدث بسبب الطقس.,,185,0
cry,يبكي,cry,"shed tears, typically as an expression of distress, pain, or sorrow",She cried during the movie.,He cries when he's emotionally moved.,We will cry tears of joy at the wedding.,سقيفة الدموع ، عادة كتعبير عن الضيق أو الألم أو الحزن,بكت خلال الفيلم.,يبكي عندما يتحرك عاطفيا.,سنبكي دموع الفرح في حفل الزفاف.,,186,0
push,يدفع,push,exert force on (someone or something) with a steady continuous action,He pushed the door open.,She pushes the cart in the grocery store.,We will push the heavy furniture together.,تمارس القوة على (شخص أو شيء ما) مع عمل مستمر ثابت,دفع الباب مفتوحا.,انها تدفع العربة في متجر البقالة.,سندفع الأثاث الثقيل معًا.,,187,0
eat,يأكل,eat,put (food) into the mouth and chew and swallow it,They ate dinner together.,She eats a healthy breakfast every day.,We will eat at the new restaurant.,ضع (الطعام) في الفم ومضغه وابتلعه,أكلوا العشاء معا.,إنها تأكل وجبة فطور صحية كل يوم.,سوف نأكل في المطعم الجديد.,,188,0
fill,يملأ,fill,make or become full; put as much as can be held into (a container),He filled the glass with water.,She fills the vase with fresh flowers.,We will fill the room with laughter.,جعل أو تصبح ممتلئة ؛ ضع بقدر ما يمكن الاحتفاظ به في (حاوية),ملأ الزجاج بالماء.,انها تملأ المزهرية مع الزهور الطازجة.,سوف نملأ الغرفة بالضحك.,,189,0
jump,القفز,jump,push oneself off a surface and into the air by using the muscles in one's legs,They jumped over the hurdle.,He jumps during the basketball game.,We will jump across the river.,ادفع نفسه عن السطح وفي الهواء باستخدام العضلات في ساقيه,قفزوا فوق العقبة.,انه يقفز خلال لعبة كرة السلة.,سنقفز عبر النهر.,,190,0
beat,يهزم,beat,strike (a person or an animal) repeatedly and violently so as to hurt or injure them,She beat the drum rhythmically.,They beat the opponent in the game.,We will beat the record next time.,الإضراب (شخص أو حيوان) مرارًا وتكرارًا وبهفًا حتى يؤذيهم أو يؤذيهم,تغلبت على طبل إيقاعي.,لقد تغلبوا على الخصم في اللعبة.,سوف نتغلب على السجل في المرة القادمة.,,191,0
burn,يحرق,burn,(of a fire) produce flames and light; consume fuel in such a way as to produce heat and light,He burned the old papers.,She burns candles for relaxation.,We will burn the logs in the fireplace.,(من النار) تنتج النيران والضوء. تستهلك الوقود بطريقة لإنتاج الحرارة والضوء,أحرق الأوراق القديمة.,انها تحرق الشموع للاسترخاء.,سنحرق السجلات في الموقد.,,192,0
deposit,إيداع,deposit,"put or set down (something or someone) in a specific place, typically unceremoniously",They deposited the bags in the lobby.,She deposits money in the bank regularly.,We will deposit the keys at the front desk.,ضع أو وضع (شيء أو شخص ما) في مكان معين ، عادة ما يكون غير متجانس,لقد أودعوا الحقائب في الردهة.,انها تودع المال في البنك بانتظام.,سنودع المفاتيح في مكتب الاستقبال.,,193,0
print,مطبعة,print,"produce (books, newspapers, magazines, etc.), especially in large quantities, by a mechanical process involving the transfer of text, images, or designs to paper",He printed the document.,She prints brochures for the event.,We will print invitations for the party.,المنتج (الكتب ، الصحف ، المجلات ، إلخ) ، وخاصة بكميات كبيرة ، من خلال عملية ميكانيكية تتضمن نقل النص أو الصور أو التصميمات إلى الورق,طبع المستند.,انها تطبع الكتيبات لهذا الحدث.,سنطبع دعوات للحزب.,,194,0
raise,يرفع,raise,lift or move to a higher position or level,She raised her hand to ask a question.,They raise the flag every morning.,We will raise the curtain for the performance.,ارفع أو انتقل إلى موقع أو مستوى أعلى,رفعت يدها لطرح سؤال.,يرفعون العلم كل صباح.,سوف نرفع الستار للأداء.,,195,0
sleep,ينام,sleep,"rest in a state of reduced consciousness, typically with the eyes closed",He slept for eight hours.,She sleeps early to feel rested.,We will sleep under the stars tonight.,استرح في حالة من الوعي المنخفض ، عادة مع العيون مغلقة,نام لمدة ثماني ساعات.,تنام مبكرًا لتشعر بالراحة.,سوف ننام تحت النجوم الليلة.,,196,0
connect,يتصل,connect,bring together or into contact so that a real or notional link is established,They connected the devices.,He connects with people on social media.,We will connect the wires carefully.,اجمع أو على اتصال بحيث يتم إنشاء رابط حقيقي أو افتراضي,قاموا بربط الأجهزة.,انه يتصل مع الناس على وسائل التواصل الاجتماعي.,سنقوم بتوصيل الأسلاك بعناية.,,197,0
consist,تتكون,consist,be composed or made up of,The team consists of experts.,She consists of talent and hard work.,The plan will consist of several phases.,تتألف أو تتكون من,يتكون الفريق من خبراء.,تتكون من المواهب والعمل الجاد.,ستتألف الخطة من عدة مراحل.,,198,0
contribute,يساهم,contribute,"give (something, especially money) in order to help achieve or provide something",They contributed to the charity.,He contributes articles to the magazine.,We will contribute to the community project.,امنح (شيء ، وخاصة المال) من أجل المساعدة في تحقيق شيء أو تقديم شيء,ساهموا في الجمعية الخيرية.,انه يساهم مقالات في المجلة.,سوف نساهم في مشروع المجتمع.,,199,0
hire,يؤجر,hire,employ (someone) for wages,They hired a new employee.,She hires skilled professionals.,We will hire additional staff next month.,توظيف (شخص ما) للأجور,لقد استأجروا موظفًا جديدًا.,انها تستأجر المهنيين المهرة.,سنقوم بتوظيف موظفين إضافيين الشهر المقبل.,,200,0
join,ينضم,join,"become a member or part of (a group, organization, or situation)",He joined the club last year.,She joins the discussion regularly.,We will join the community event.,كن عضوًا أو جزءًا من (مجموعة أو منظمة أو موقف),انضم إلى النادي العام الماضي.,تنضم إلى المناقشة بانتظام.,سننضم إلى حدث المجتمع.,,201,0
sit,يجلس,sit,adopt or be in a position in which one's weight is supported by one's buttocks rather than one's feet,She sat on the bench.,They sit in the waiting area.,We will sit at the front during the concert.,اعتماد أو أن يكون في وضع يتم فيه دعم وزن الشخص من قبل الأرداف بدلاً من قدمه,جلست على مقاعد البدلاء.,يجلسون في منطقة الانتظار.,سوف نجلس في المقدمة خلال الحفل.,,202,0
win,يفوز,win,be successful or victorious in (a contest or conflict),They won the championship.,He wins every game he plays.,We will win the competition next year.,كن ناجحًا أو منتصراً في (مسابقة أو صراع),فازوا بالبطولة.,إنه يفوز بكل لعبة يلعبها.,سنفوز بالمسابقة العام المقبل.,,203,0
fix,يصلح,fix,fasten (something) securely in a particular place or position,She fixed the broken shelf.,He fixes the leaky faucet.,We will fix the roof before winter.,اربط (شيء ما) بشكل آمن في مكان أو موقف معين,لقد أصلحت الرف المكسور.,انه يصلح الصنبور المتسرب.,سنصلح السقف قبل فصل الشتاء.,,204,0
attack,هجوم,attack,take aggressive action against (a place or enemy forces) with weapons or armed force,They attacked the fortress.,She attacks the opponent's strategy.,We will attack at dawn.,اتخاذ إجراءات عدوانية ضد (مكان أو قوات العدو) بأسلحة أو قوة مسلحة,هاجموا القلعة.,إنها تهاجم استراتيجية الخصم.,سنهاجم عند الفجر.,,205,0
drink,يشرب,drink,take (a liquid) into the mouth and swallow,He drank a glass of water.,She drinks herbal tea every morning.,We will drink fresh juice for breakfast.,خذ (سائل) في الفم وابتلاع,شرب كوب من الماء.,إنها تشرب شاي العشبي كل صباح.,سوف نشرب عصير طازج على الإفطار.,,206,0
guess,يخمن,guess,estimate or suppose (something) without sufficient information to be sure of being correct,They guessed the answer.,She guesses the correct outcome.,We will guess the result of the experiment.,تقدير أو افترض (شيء ما) دون معلومات كافية للتأكد من صحة,لقد خمنوا الجواب.,إنها تخمن النتيجة الصحيحة.,سوف نخمن نتيجة التجربة.,,207,0
wear,يرتدي,wear,"have on one's body or a part of one's body as clothing, decoration, protection, or for some other purpose",She wore a beautiful dress.,They wear uniforms at work.,We will wear costumes for the party.,احصل على جسم المرء أو جزءًا من جسم المرء كملابس أو زخرفة أو حماية أو لأغراض أخرى,ارتدت فستانًا جميلًا.,يرتدون الزي الرسمي في العمل.,سوف نرتدي أزياء للحزب.,,208,0
count,عدد,count,determine the total number of,He counted the coins in the jar.,She counts the inventory regularly.,We will count the votes tomorrow.,تحديد العدد الإجمالي لـ,قام بحساب العملات المعدنية في الجرة.,إنها تحسب المخزون بانتظام.,سنحسب الأصوات غدًا.,,209,0
doubt,شك,doubt,feel uncertain about,They doubted the decision.,She doubts the accuracy of the data.,We will doubt the feasibility of the plan.,تشعر بعدم اليقين بشأن,شككوا في القرار.,إنها تشك في دقة البيانات.,سوف نشك في جدوى الخطة.,,210,0
feed,يٌطعم,feed,give food to,She fed the birds in the park.,They feed the animals on the farm.,We will feed the guests at the event.,إعطاء الطعام ل,لقد أطعمت الطيور في الحديقة.,أنها تغذي الحيوانات في المزرعة.,سنطعم الضيوف في هذا الحدث.,,211,0
repeat,يكرر,repeat,say or do again,He repeated the instructions.,She repeats the mantra during meditation.,We will repeat the experiment for accuracy.,قل أو افعل مرة أخرى,كرر التعليمات.,تكرر المانترا أثناء التأمل.,سوف نكرر تجربة الدقة.,,212,0
wish,يتمنى,wish,feel or express a strong desire or hope for something that is not easily attainable,They wished for good health.,She wishes for a peaceful world.,We will wish for success in the new year.,تشعر أو تعبر عن رغبة قوية أو أمل في شيء لا يمكن تحقيقه بسهولة,كانوا يتمنون لصحة جيدة.,إنها تتمنى لعالم سلمي.,نرغب في النجاح في العام الجديد.,,213,0
mention,يذكر,mention,refer to briefly and without going into detail; make a casual reference to,He mentioned the upcoming event.,She mentions interesting facts in her lectures.,We will mention your achievements in the speech.,الرجوع إلى لفترة وجيزة ودون الخوض في التفاصيل ؛ إشارة غير رسمية إلى,وذكر الحدث القادم.,تذكر حقائق مثيرة للاهتمام في محاضراتها.,سوف نذكر إنجازاتك في الخطاب.,,214,0
smell,يشم,smell,perceive or detect the odor or scent of (something) by means of the nose,She smelled the flowers.,They smell the freshly baked bread.,We will smell the aroma of coffee in the morning.,إدراك أو اكتشف رائحة أو رائحة (شيء) عن طريق الأنف,كانت رائحة الزهور.,رائحة الخبز المخبوز حديثا.,سوف نشم رائحة القهوة في الصباح.,,215,0
escape,يهرب,escape,break free from confinement or control,They escaped from the prison.,He escapes reality through reading.,We will escape to a remote island for vacation.,تحرر من الحبس أو السيطرة,هربوا من السجن.,يهرب من الواقع من خلال القراءة.,سوف نهرب إلى جزيرة نائية لقضاء إجازة.,,216,0
expose,يفضح,expose,make (something) visible by uncovering it,She exposed the hidden truth.,They expose the corruption in the system.,We will expose the fraudulent activities.,اجعل (شيء) مرئيًا عن طريق الكشف عنه,كشفت الحقيقة الخفية.,أنها تعرض الفساد في النظام.,سنعرض الأنشطة الاحتيالية.,,217,0
hate,يكره,hate,feel intense or passionate dislike for,He hated the injustice.,She hates the taste of cilantro.,We will hate to see them go.,تشعر بالارتياح الشديدة أو العاطفية,كره الظلم.,انها تكره طعم الكزبرة.,سوف نكره أن نراهم يذهبون.,,218,0
repair,بصلح,repair,fix or mend (a thing suffering from damage or a fault),She repaired the broken toy.,They repair electronic devices.,We will repair the roof before the rainy season.,إصلاح أو إصلاح (شيء يعاني من الضرر أو الخطأ),لقد أصلحت اللعبة المكسورة.,يقومون بإصلاح الأجهزة الإلكترونية.,سنصلح السقف قبل موسم الأمطار.,,219,0
employ,توظيف,employ,give work to (someone) and pay them for it,They employed a skilled technician.,She employs a team of experts.,We will employ additional staff next quarter.,امنح العمل إلى (شخص ما) ودفعه مقابل ذلك,لقد استخدموا فنيًا ماهرًا.,توظف فريقًا من الخبراء.,سنقوم بتوظيف موظفين إضافيين في الربع القادم.,,220,0
laugh,يضحك,laugh,make the spontaneous sounds and movements of the face and body that are the instinctive expressions of lively amusement,He laughed at the joke.,She laughs heartily at comedies.,We will laugh together at the comedy show.,اجعل الأصوات والحركات التلقائية للوجه والجسم هي التعبيرات الغريزية للتسلية الحيوية,ضحك على النكتة.,تضحك بحرارة في الكوميديا.,سوف نضحك معا في عرض الكوميديا.,,221,0
swim,السباحة,swim,"propel the body through water by using the limbs, or (in the case of a fish or other aquatic animal) by using fins, tail, or other bodily movement",They swam in the ocean.,He swims regularly for exercise.,We will swim in the lake next summer.,دفع الجسم عبر الماء باستخدام الأطراف ، أو (في حالة السمك أو حيوان مائي آخر) باستخدام الزعانف أو الذيل أو حركة جسدية أخرى,سبحوا في المحيط.,يسبح بانتظام لممارسة الرياضة.,سنسبح في البحيرة في الصيف المقبل.,,222,0
wash,غسل,wash,"clean with water and, typically, soap or detergent",She washed the dishes after dinner.,He washes his car every weekend.,We will wash the clothes tomorrow.,نظف بالماء ، وعادة ما يكون الصابون أو المنظفات,غسلت الأطباق بعد العشاء.,يغسل سيارته في نهاية كل أسبوع.,سنغسل الملابس غدا.,,223,0
sing,يغني,sing,"produce musical sounds with the voice, especially words with a set tune",They sang a beautiful song.,She sings in the choir every Sunday.,We will sing together at the party.,إنتاج أصوات موسيقية مع الصوت ، وخاصة الكلمات مع لحن مجموعة,غنوا أغنية جميلة.,تغني في الجوقة كل يوم أحد.,سنغني معًا في الحفلة.,,224,0
miss,يفتقد,miss,"fail to hit, reach, or come into contact with (something aimed at)",He missed the target.,She misses her friends from college.,We will miss the train if we don't hurry.,فشل في ضرب أو الوصول أو التواصل مع (شيء يهدف),لقد فاته الهدف.,إنها تفتقد صديقاتها من الكلية.,سنفتقد القطار إذا لم نتسرع.,,225,0
recover,استعادة,recover,"return to a normal state of health, mind, or strength",She recovered from the illness.,They recover quickly after workouts.,We will recover fully by next week.,العودة إلى حالة صحية أو عقل أو قوة طبيعية,تعافت من المرض.,يتعافون بسرعة بعد التدريبات.,سوف نتعافى بالكامل بحلول الأسبوع المقبل.,,226,0
refuse,رفض,refuse,indicate or show that one is not willing to do something or comply with a request,He refused to sign the contract.,She refuses to compromise her values.,We will refuse any unfair demands.,أشر أو تظهر أن الشخص غير مستعد لفعل شيء أو الامتثال لطلب,رفض التوقيع على العقد.,إنها ترفض التنازل عن قيمها.,سنرفض أي مطالب غير عادلة.,,227,0
steal,يسرق,steal,take (another person's property) without permission or legal right,They stole the jewelry.,He steals glances at her during meetings.,We will steal a moment for ourselves.,خذ (ممتلكات شخص آخر) دون إذن أو حق قانوني,سرقوا المجوهرات.,يسرق النظرات عليها خلال الاجتماعات.,سوف نسرق لحظة لأنفسنا.,,228,0
delay,تأخير,delay,make (someone or something) late or slow,She delayed the meeting by an hour.,They delay the project with indecision.,We will delay the trip until next month.,اجعل (شخص ما أو شيء ما) متأخراً أو بطيئًا,لقد تأخرت الاجتماع لمدة ساعة.,يؤخرون المشروع مع التردد.,سنؤخر الرحلة حتى الشهر المقبل.,,229,0
hurry,عجل,hurry,move or act quickly; rush,He hurried to catch the bus.,She hurries through her morning routine.,We will hurry to finish the task on time.,تحرك أو تصرف بسرعة ؛ يسرع,سارع للقبض على الحافلة.,إنها تسارع في روتينها الصباحي.,سوف نسرع ​​لإنهاء المهمة في الوقت المحدد.,,230,0
invite,يدعو,invite,ask (someone) to go somewhere or do something,They invited her to the party.,He invites colleagues to his events.,We will invite them for dinner.,اطلب من (شخص ما) الذهاب إلى مكان ما أو القيام بشيء ما,دعوها إلى الحفلة.,يدعو الزملاء إلى أحداثه.,سوف ندعوهم لتناول العشاء.,,231,0
marry,الزواج,marry,take (someone) as one's spouse in marriage,She married her college sweetheart.,They marry in a beautiful ceremony.,We will marry in the spring.,خذ (شخص ما) كزوج واحد في الزواج,تزوجت حبيبتها الجامعية.,يتزوجون في حفل جميل.,سوف نتزوج في الربيع.,,232,0
quit,يترك,quit,"leave (a place), usually permanently",He quit his job last month.,She quits unhealthy habits.,We will quit the old software.,ترك (مكان) ، عادة بشكل دائم,ترك وظيفته الشهر الماضي.,انها تترك العادات غير الصحية.,سوف نتوقف عن البرنامج القديم.,,233,0
reply,رد,reply,say something in response to something someone has said,She replied to the email promptly.,They reply to customer inquiries.,We will reply to your message soon.,قل شيئًا ردًا على شيء قاله أحدهم,أجابت على البريد الإلكتروني على الفور.,يردون على استفسارات العملاء.,سوف نرد على رسالتك قريبًا.,,234,0
smile,يبتسم,smile,"form one's features into a pleased, kind, or amused expression",He smiled at the compliment.,She smiles at strangers.,We will smile for the group photo.,تشكل ميزات المرء في تعبير مسرور أو لطيف أو مسليا,ابتسم في المجاملة.,تبتسم على الغرباء.,سوف نبتسم لصورة المجموعة.,,235,0
wake,استيقظ,wake,cause to become alert and conscious after sleeping,She woke him up for breakfast.,They wake up early every day.,We will wake up at sunrise.,تسبب في حالة تأهب واعية بعد النوم,أيقظته على الإفطار.,يستيقظون مبكرًا كل يوم.,سوف نستيقظ عند شروق الشمس.,,236,0
study,يذاكر,study,"apply oneself to the acquisition of knowledge, as by reading, investigation, or practice",They studied for the exam all night.,He studies different languages.,We will study the market trends.,تنطبق على اكتساب المعرفة ، كما هو من خلال القراءة أو التحقيق أو الممارسة,درسوا للامتحان طوال الليل.,يدرس لغات مختلفة.,سوف ندرس اتجاهات السوق.,,237,0
care,رعاية,care,feel concern or interest; attach importance to something,She cared for the injured bird.,He cares about environmental issues.,We will care for the elderly.,تشعر بالقلق أو الاهتمام ؛ نعلق أهمية شيء ما,كانت تهتم بالطيور المصاب.,انه يهتم بالقضايا البيئية.,سوف نهتم بمسنين.,,238,0
risk,مخاطرة,risk,"expose (someone or something valued) to danger, harm, or loss",They risked their lives for the mission.,She risks financial stability for entrepreneurship.,We will risk trying a new approach.,يعرض (شخص ما أو شيء ما) للخطر أو الأذى أو الخسارة,خاطروا بحياتهم للمهمة.,إنها تخاطر بالاستقرار المالي لريادة الأعمال.,سنخاطر بتجربة نهج جديد.,,239,0
answer,إجابة,answer,say or write something to deal with a question or problem,He answered all the interview questions.,She answers emails promptly.,We will answer your call shortly.,قل أو اكتب شيئًا للتعامل مع سؤال أو مشكلة,أجاب على جميع أسئلة المقابلة.,إنها تجيب على رسائل البريد الإلكتروني على الفور.,سنجيب على مكالمتك قريبًا.,,240,0
respect,احترام,respect,"have due regard for the feelings, wishes, or rights of others",She respected their decision.,They respect diversity in the workplace.,We will respect your opinion.,احترس من المشاعر أو التمنيات أو حقوق الآخرين,كانت تحترم قرارهم.,يحترمون التنوع في مكان العمل.,سنحترم رأيك.,,241,0
describe,يصف,describe,"give an account in words of (someone or something), including all the relevant characteristics, qualities, or events",They described the scene in detail.,She describes the process in the manual.,We will describe the plan in the presentation.,أعط حسابًا بكلمات (شخص ما أو شيء ما) ، بما في ذلك جميع الخصائص أو الصفات أو الأحداث ذات الصلة,وصفوا المشهد بالتفصيل.,تصف العملية في الدليل.,سنصف الخطة في العرض التقديمي.,,242,0
accept,يقبل,accept,consent to receive (a thing offered),He accepted the gift graciously.,She accepts challenges with enthusiasm.,We will accept the invitation.,موافقة على تلقي (شيء معروض),قبل الهدية بلطف.,إنها تقبل التحديات بحماس.,سوف نقبل الدعوة.,,243,0
desire,يرغب,desire,strongly wish for or want (something),She desired success in her career.,They desire a peaceful life.,We will desire more opportunities.,أتمنى بشدة أو تريد (شيء ما),كانت ترغب في النجاح في حياتها المهنية.,إنهم يرغبون في حياة سلمية.,سنرغب في مزيد من الفرص.,,244,0
