UB,words,count,,type,mean
,annual,7,,"(adjective,noun)",سنوي
,anticipate,7,,(verb),يتوقع
,assume,7,,(verb),يفترض
,bat,7,,"(noun,verb)",الخفافيش
,beach,7,,"(noun,verb)",شاطئ
,blank,7,,"(noun,verb,adjective)",فارغ
,busy,7,,"(adjective,verb)",مشغول
,catch,7,,"(noun,verb)",يمسك
,chain,7,,"(noun,verb)",سلسلة
,classroom,7,,(noun),الفصول الدراسية
,consideration,7,,"(noun,idiom)",اعتبار
,count,7,,"(verb,noun,adjective,idiom)",عدد
,cream,7,,"(noun,verb,adjective,idiom)",كريم
,crew,7,,"(noun,verb)",طاقم
,dead,7,,"(adjective,noun,adverb,idiom)",ميت
,delivery,7,,(noun),توصيل
,detail,7,,"(noun,verb,idiom)",التفاصيل
,detailed,7,,"(past,verb)",مفصل
,device,7,,(noun),جهاز
,difficulty,7,,(noun),صعوبة
,doubt,7,,"(verb,noun,idiom)",شك
,drama,7,,(noun),دراما
,election,7,,(noun),انتخاب
,engage,7,,(verb),يخطب
,engine,7,,(noun),محرك
,enhance,7,,(verb),يحسن
,examine,7,,(verb),يفحص
,FALSE,7,,"(adjective,adverb,idiom)",خطأ شنيع
,feed,7,,"(verb,noun,idiom)",يٌطعم
,football,7,,(noun),كرة القدم
,forever,7,,"(adverb,noun,idiom)",للأبد
,gold,7,,"(noun,adjective)",ذهب
,guidance,7,,(noun),إرشاد
,hotel,7,,(noun),الفندق
,impress,7,,"(verb,noun)",إقناع
,install,7,,(verb),ثَبَّتَ
,interview,7,,"(noun,verb)",مقابلة
,kid,7,,"(noun,verb,adjective)",طفل
,mark,7,,"(noun,verb,idiom)",علامة
,match,7,,"(noun,verb)",مباراة
,mission,7,,"(noun,adjective)",مهمة
,nobody,7,,"(pronoun,noun)",لا أحد
,obvious,7,,(adjective),بديهي
,ourselves,7,,(pronoun),أنفسنا
,owner,7,,(noun),مالك
,pain,7,,"(noun,verb,idiom)",ألم
,participate,7,,(verb),يشارك
,pleasure,7,,"(noun,verb)",سرور
,priority,7,,(noun),أولوية
,protection,7,,(noun),حماية
,repeat,7,,"(verb,noun)",يكرر
,round,7,,"(adjective,noun,adverb,verb)",دائري
,score,7,,"(noun,verb,idiom)",نتيجة
,screw,7,,"(noun,verb,idiom)",أفسد
,seek,7,,"(verb,idiom)",يطلب
,sex,7,,"(noun,verb,idiom)",الجنس
,sharp,7,,"(adjective,verb,adverb,noun)",حاد
,shop,7,,"(noun,verb,interjection,idiom)",محل
,shower,7,,"(noun,verb,idiom)",دش
,sing,7,,"(verb,noun)",يغني
,slide,7,,"(verb,noun,idiom)",شريحة
,strip,7,,"(verb,noun)",يجرد
,suggestion,7,,(noun),اقتراح
,suit,7,,"(noun,verb,idiom)",بدلة
,tension,7,,(noun),توتر
,thick,7,,"(adjective,adverb,noun,idiom)",سميك
,tone,7,,"(noun,verb)",نغمة
,totally,7,,(adverb),تماما
,twice,7,,(adverb),مرتين
,variation,7,,(noun),تفاوت
,whereas,7,,"(conjunction,noun)",بينما
,window,7,,"(noun,verb)",نافذة
,wise,7,,"(adjective,verb,idiom)",حكيم
,wish,7,,"(verb,noun)",يتمنى
,agent,6,,"(noun,adjective,verb)",عامل
,anxiety,6,,(noun),قلق
,atmosphere,6,,(noun),أَجواء
,awareness,6,,(noun),وعي
,band,6,,"(noun,verb)",فرقة
,bath,6,,(noun),حمام
,block,6,,"(noun,verb)",حاجز
,bone,6,,"(noun,verb,adverb)",عظم
,bread,6,,(noun),خبز
,calendar,6,,"(noun,verb)",تقويم
,candidate,6,,(noun),مُرَشَّح
,cap,6,,"(noun,verb)",كاب
,careful,6,,(adjective),حذرا
,climate,6,,(noun),مناخ
,coat,6,,"(noun,verb)",معطف
,collect,6,,"(verb,adverb,noun)",يجمع
,combine,6,,"(verb,noun)",يجمع
,command,6,,"(verb,noun)",يأمر
,comparison,6,,(noun),مقارنة
,confusion,6,,(noun),ارتباك
,construction,6,,(noun),بناء
,contest,6,,"(noun,verb)",منافسة
,corner,6,,"(noun,adjective,verb,idiom)",ركن
,court,6,,"(noun,verb,idiom)",محكمة
,cup,6,,"(noun,verb)",كوب
,dig,6,,"(verb,noun)",حفر
,district,6,,"(noun,verb)",يصرف
,divide,6,,"(verb,noun)",تقسيم
,door,6,,"(noun,idiom)",باب
,east,6,,"(noun,adjective,adverb)",شرق
,elevator,6,,(noun),مصعد
,elsewhere,6,,(adverb),في مكان آخر
,emotion,6,,(noun),العاطفة
,employee,6,,(noun),موظف
,employer,6,,(noun),صاحب العمل
,equivalent,6,,"(adjective,noun)",مقابل
,everywhere,6,,(adverb),في كل مكان
,except,6,,"(preposition,conjunction,idiom)",يستثني
,finger,6,,"(noun,verb,idiom)",إصبع
,garage,6,,"(noun,verb)",المرآب
,guarantee,6,,"(noun,verb)",يضمن
,guest,6,,(noun),ضيف
,hang,6,,"(verb,noun,idiom)",يشنق
,height,6,,(noun),ارتفاع
,himself,6,,(pronoun),نفسه
,hole,6,,"(noun,verb,idiom)",فتحة
,hook,6,,"(noun,verb,idiom)",خطاف
,hunt,6,,"(verb,noun)",مطاردة
,implement,6,,"(noun,verb)",ينفذ
,initial,6,,"(adjective,noun,verb)",أولي
,intend,6,,(verb),ينوي
,introduce,6,,(verb),يقدم
,latter,6,,(adjective),أخير
,layer,6,,"(noun,verb)",طبقة
,leadership,6,,(noun),قيادة
,lecture,6,,"(noun,verb)",محاضرة
,lie,6,,"(noun,verb,idiom)",كذب
,mall,6,,(noun),مول
,manager,6,,(noun),مدير
,manner,6,,"(noun,idiom)",طريقة
,march,6,,"(verb,noun,idiom)",يمشي
,married,6,,"(past,verb,adjective,noun)",متزوج
,meeting,6,,"(noun,idiom)",مقابلة
,mention,6,,"(verb,noun,idiom)",يذكر
,narrow,6,,"(adjective,verb,noun)",ضيق
,nearby,6,,"(adjective,adverb)",قريب
,neither,6,,"(conjunction,adjective,pronoun)",لا
,nose,6,,"(noun,verb,idiom)",أنف
,obviously,6,,(adverb),بوضوح
,operation,6,,(noun),عملية
,parking,6,,"(noun,adjective)",وقوف السيارات
,partner,6,,"(noun,verb)",شريك
,perfectly,6,,(adverb),تماما
,physically,6,,(adverb),جسديا
,profile,6,,"(noun,verb)",حساب تعريفي
,proud,6,,"(adjective,idiom)",فخور
,recording,6,,(noun),تسجيل
,relate,6,,(verb),يتصل
,respect,6,,"(noun,verb)",احترام
,rice,6,,"(noun,verb)",أرز
,routine,6,,"(noun,adjective)",روتين
,sample,6,,(noun),عينة
,schedule,6,,"(noun,verb)",جدول
,settle,6,,(verb),يستقر
,smell,6,,"(verb,noun)",يشم
,somehow,6,,"(adverb,idiom)",بطريقة أو بأخرى
,spiritual,6,,"(adjective,noun)",روحي
,survey,6,,"(verb,noun)",استطلاع
,swimming,6,,"(noun,adjective)",سباحة
,telephone,6,,"(noun,verb)",هاتف
,tie,6,,"(verb,noun,idiom)",رَابِطَة
,tip,6,,"(noun,verb)",نصيحة
,transportation,6,,(noun),مواصلات
,unhappy,6,,(adjective),تعيس
,wild,6,,"(adjective,adverb,noun,idiom)",بري
,winter,6,,"(noun,adjective,verb)",شتاء
,absolutely,5,,"(adverb,interjection)",قطعاً
,acceptable,5,,(adjective),مقبول
,adult,5,,"(adjective,noun)",بالغ
,aggressive,5,,(adjective),عنيف
,airline,5,,"(noun,adjective)",شركة طيران
,apart,5,,"(adjective,adverb)",منفصل
,assure,5,,(verb),أؤكد
,attract,5,,(verb),جذب
,bag,5,,"(noun,verb)",شنطة
,battle,5,,"(noun,verb)",معركة
,bed,5,,"(noun,verb)",سرير
,bill,5,,"(noun,verb)",فاتورة
,boring,5,,(adjective),ممل
,bother,5,,"(noun,verb)",يزعج
,brief,5,,"(adjective,noun,verb)",مختصر
,cake,5,,"(noun,verb)",كعكة
,charity,5,,(noun),صدقة
,code,5,,"(noun,verb)",شفرة
,cousin,5,,(noun),ابن عم
,crazy,5,,"(adjective,noun,idiom)",مجنون
,curve,5,,"(noun,verb,idiom)",منحنى
,designer,5,,"(noun,adjective)",مصمم
,dimension,5,,"(noun,verb)",البعد
,disaster,5,,(noun),كارثة
,distinct,5,,(adjective),متميز
,distribute,5,,(verb),توزيع
,dress,5,,"(noun,adjective,verb)",فستان
,ease,5,,"(noun,verb)",يُسَهّل
,eastern,5,,(adjective),شرقية
,editor,5,,(noun),محرر
,efficiency,5,,(noun),كفاءة
,emergency,5,,"(noun,adjective)",طارئ
,escape,5,,"(verb,noun,adjective)",يهرب
,evening,5,,"(noun,adjective)",مساء
,excitement,5,,(noun),الإثارة
,expose,5,,"(verb,idiom)",يفضح
,extension,5,,"(noun,adjective)",امتداد
,extent,5,,(noun),حد
,farm,5,,"(noun,verb,idiom)",مزرعة
,,5,,(noun),#VALUE!
,fight,5,,"(noun,verb)",يعارك
,gap,5,,"(noun,verb)",فجوة
,gather,5,,"(verb,noun,idiom)",يجتمع
,grade,5,,"(noun,verb)",درجة
,guitar,5,,(noun),غيتار
,hate,5,,"(verb,noun)",يكره
,holiday,5,,"(noun,adjective,verb)",عطلة
,homework,5,,(noun),العمل في المنزل
,horror,5,,"(noun,adjective)",رعب
,horse,5,,"(noun,verb,adjective,idiom)",حصان
,host,5,,"(noun,verb)",يستضيف
,husband,5,,"(noun,verb)",زوج
,leader,5,,(noun),قائد
,loan,5,,"(noun,verb,idiom)",يُقرض
,logical,5,,(adjective),منطقي
,mistake,5,,"(noun,verb,idiom)",خطأ
,mom,5,,(noun),أم
,mountain,5,,"(noun,adjective,idiom)",جبل
,nail,5,,"(noun,verb,idiom)",مسمار
,noise,5,,"(noun,verb)",ضوضاء
,none,5,,"(pronoun,adverb,adjective)",لا أحد
,occasion,5,,"(noun,verb,idiom)",مناسبة
,outcome,5,,(noun),حصيلة
,overcome,5,,(verb),يغلب
,owe,5,,(verb),يدين
,package,5,,"(noun,verb)",طَرد
,patient,5,,"(noun,adjective)",مريض
,pause,5,,"(noun,verb,idiom)",يوقف
,permission,5,,(noun),إذن
,phrase,5,,"(noun,verb)",عبارة
,presentation,5,,(noun),عرض تقديمي
,prior,5,,"(adjective,noun,idiom)",قبل
,promotion,5,,(noun),ترقية
,proof,5,,"(noun,adjective,verb)",دليل
,race,5,,"(noun,verb)",سباق
,reasonable,5,,(adjective),معقول
,reflection,5,,(noun),انعكاس
,refrigerator,5,,(noun),ثلاجة
,relief,5,,"(noun,idiom)",اِرتِياح
,repair,5,,"(verb,noun)",بصلح
,resolution,5,,(noun),دقة
,revenue,5,,(noun),ربح
,rough,5,,"(adjective,noun,adverb,verb)",خشن
,sad,5,,"(adjective,noun)",حزين
,sand,5,,"(noun,verb,idiom)",رمل
,scratch,5,,"(verb,noun,adjective,idiom)",يخدش
,sentence,5,,"(noun,verb)",جملة
,session,5,,(noun),حصة
,shoulder,5,,"(noun,verb,idiom)",كتف
,sick,5,,"(adjective,noun,idiom)",مريض
,singer,5,,(noun),مغني
,smoke,5,,"(noun,verb,idiom)",دخان
,stomach,5,,"(noun,verb)",معدة
,strange,5,,"(adjective,adverb)",غريب
,strict,5,,(adjective),حازم
,strike,5,,"(verb,noun,adjective,idiom)",يضرب
,string,5,,"(noun,verb,idiom)",خيط
,succeed,5,,(verb),تنجح
,successfully,5,,(adverb),بنجاح
,suddenly,5,,(adverb),فجأة
,suffer,5,,(verb),يعاني
,surprised,5,,"(past,verb)",متفاجئ
,tennis,5,,(noun),تنس
,throw,5,,(verb),يرمي
,tourist,5,,"(noun,adverb)",سائح
,towel,5,,"(noun,verb)",منشفة
,truly,5,,(adverb),حقا
,vacation,5,,"(noun,verb)",أجازة
,virtually,5,,(adverb),افتراضيًا
,west,5,,"(noun,adjective,adverb,idiom)",الغرب
,wheel,5,,"(noun,verb,idiom)",عجلة
,wine,5,,"(noun,adjective,verb,idiom)",خمر
,acquire,4,,(verb),يكتسب
,adapt,4,,(verb),يتكيف
,adjust,4,,(verb),يُعدِّل
,administrative,4,,(adjective),إداري
,altogether,4,,(adverb),تماما
,anyway,4,,(adverb),على أي حال
,argue,4,,(verb),يجادل
,arise,4,,(verb),تنشأ
,arm,4,,"(noun,verb)",ذراع
,aside,4,,"(noun,adverb)",جانبا
,associate,4,,"(noun,verb,adjective)",شريك
,automatic,4,,(adjective),تلقائي
,automatically,4,,(adverb),تلقائيا
,basket,4,,(noun),سلة
,bet,4,,"(noun,verb)",رهان
,blow,4,,"(noun,verb)",ينفخ
,bonus,4,,(noun),علاوة
,border,4,,"(noun,verb)",حدود
,branch,4,,"(noun,verb)",فرع
,breast,4,,"(noun,verb)",صدر
,brother,4,,"(noun,interjection)",أخ
,buddy,4,,"(noun,verb)",صاحب
,bunch,4,,"(noun,verb)",حزمة
,cabinet,4,,(noun),مجلس الوزراء
,childhood,4,,(noun),طفولة
,chip,4,,"(noun,verb)",رقاقة
,church,4,,(noun),كنيسة
,civil,4,,(adjective),مدني
,clothes,4,,(noun),ملابس
,coach,4,,"(noun,verb,adverb)",مدرب
,coffee,4,,(noun),قهوة
,confirm,4,,(verb),يتأكد
,cross,4,,"(noun,verb,adjective)",يعبر
,deeply,4,,(adverb),بعمق
,definitely,4,,(adverb),قطعاً
,deliberately,4,,(adverb),عمدًا
,dinner,4,,(noun),عشاء
,document,4,,"(noun,verb)",وثيقة
,draft,4,,"(noun,verb,adjective)",مسودة
,drawing,4,,(noun),رسم
,dust,4,,"(noun,verb)",تراب
,employ,4,,"(verb,noun)",توظيف
,encouraging,4,,(verb),مشجعة
,expert,4,,"(noun,adjective)",خبير
,external,4,,"(adjective,noun)",خارجي
,floor,4,,"(noun,verb)",أرضية
,former,4,,(adjective),سابق
,god,4,,"(noun,interjection)",إله
,golf,4,,"(noun,verb)",جولف
,habit,4,,"(noun,verb)",عادة
,hair,4,,(noun),شعر
,hardly,4,,(adverb),بالكاد
,hearing,4,,(noun),السمع
,hurt,4,,"(verb,noun)",يؤذي
,illegal,4,,"(adjective,noun)",غير قانوني
,incorporate,4,,(verb),أَدْخَل
,initiative,4,,(noun),مبادرة
,iron,4,,"(noun,verb)",حديد
,judge,4,,"(noun,verb)",يحكم على
,judgment,4,,(noun),الحكم
,justify,4,,(verb),يبرر
,knife,4,,"(noun,verb)",سكين
,lab,4,,(noun),مختبر
,landscape,4,,"(noun,verb)",منظر جمالي
,laugh,4,,"(verb,noun)",يضحك
,lay,4,,"(verb,noun,adjective)",يضع
,league,4,,"(noun,verb)",الدوري
,loud,4,,"(adjective,adverb)",عالي
,mail,4,,"(noun,verb)",بريد
,massive,4,,(adjective),جَسِيم
,measurement,4,,(noun),قياس
,mess,4,,"(noun,verb)",فوضى
,mobile,4,,"(adjective,noun)",متحرك
,mode,4,,(noun),وضع
,mud,4,,(noun),الطين
,nasty,4,,"(adjective,noun)",مقرف
,native,4,,"(noun,adjective)",محلي
,opening,4,,"(noun,adjective)",افتتاح
,orange,4,,(noun),البرتقالي
,ordinary,4,,"(adjective,noun)",عادي
,organize,4,,(verb),تنظم
,ought,4,,(verb),ينبغي
,parent,4,,"(noun,verb)",الوالدين
,pattern,4,,"(noun,verb)",نمط
,pin,4,,"(noun,verb)",دبوس
,poetry,4,,(noun),شِعر
,police,4,,(noun),شرطة
,pool,4,,"(noun,verb)",حمام سباحة
,possess,4,,(verb),يمتلك
,possibility,4,,(noun),إمكانية
,pound,4,,"(noun,verb)",جنيه
,procedure,4,,(noun),إجراء
,queen,4,,(noun),ملكة
,ratio,4,,(noun),نسبة
,readily,4,,(adverb),بسهولة
,relation,4,,(noun),علاقة
,relieve,4,,(verb),يخفّف
,request,4,,"(noun,verb)",طلب
,respond,4,,"(verb,noun)",يرد
,restaurant,4,,(noun),مطعم
,retain,4,,(verb),يحتفظ
,royal,4,,"(adjective,noun)",ملكي
,salary,4,,"(noun,verb)",مرتب
,satisfaction,4,,(noun),إشباع
,sector,4,,(noun),قطاع
,senior,4,,"(adjective,noun)",كبير
,shame,4,,"(noun,verb)",عار
,shelter,4,,"(noun,verb)",مَأوىً
,shoe,4,,"(noun,verb)",حذاء
,shut,4,,(verb),اغلق
,signature,4,,(noun),إمضاء
,significance,4,,(noun),دلالة
,silver,4,,"(noun,adjective,verb)",فضي
,somebody,4,,(pronoun),شخص ما
,song,4,,(noun),أغنية
,southern,4,,(adjective),جنوبي
,split,4,,"(verb,noun)",ينقسم
,strain,4,,"(verb,noun)",أَضْنَى
,struggle,4,,"(verb,noun)",كفاح
,super,4,,"(adjective,adverb,noun)",ممتاز
,swim,4,,"(verb,noun)",السباحة
,tackle,4,,"(noun,verb)",يتصدى
,tank,4,,"(noun,verb)",صهريج
,terribly,4,,(adverb),رهيب
,tight,4,,"(adjective,adverb)",ضيق
,tooth,4,,(noun),سن
,town,4,,(noun),بلدة
,train,4,,"(verb,noun)",يدرب
,trust,4,,"(noun,verb)",يثق
,unfair,4,,(adjective),غير عادل
,unfortunately,4,,(adverb),للأسف
,upper,4,,"(adjective,noun)",العلوي
,vehicle,4,,(noun),عربة
,visible,4,,(adjective),مرئي
,volume,4,,(noun),مقدار
,wash,4,,"(verb,noun)",غسل
,waste,4,,"(verb,adjective,noun)",يضيع
,wife,4,,(noun),زوجة
,yellow,4,,"(adjective,noun,verb)",أصفر
,yours,4,,(pronoun),لك
,accident,3,,(noun),حادثة
,airport,3,,(noun),مطار
,alive,3,,(adjective),على قيد الحياة
,angry,3,,(adjective),غاضب
,appointment,3,,(noun),ميعاد
,arrival,3,,(noun),وصول
,assist,3,,"(noun,verb)",يساعد
,assumption,3,,(noun),افتراض
,bake,3,,"(noun,verb)",خبز
,bar,3,,"(noun,verb,preposition)",حاجِز
,baseball,3,,(noun),البيسبول
,bell,3,,"(noun,verb)",جرس
,bike,3,,"(noun,verb)",دراجة
,blame,3,,"(noun,verb)",لوم
,boy,3,,"(noun,interjection)",ولد
,brick,3,,"(noun,verb)",لبنة
,calculate,3,,(verb),احسب
,chair,3,,"(noun,verb)",كرسي
,chapter,3,,(noun),الفصل
,closet,3,,"(noun,verb,adjective)",خزانة
,clue,3,,"(noun,verb)",فكرة
,collar,3,,"(noun,verb)",طوق
,comment,3,,"(noun,verb)",تعليق
,committee,3,,(noun),لجنة
,compete,3,,(verb),تنافس
,concerning,3,,(preposition),بخصوص
,conference,3,,"(noun,verb)",مؤتمر
,consult,3,,(verb),استشر
,conversation,3,,(noun),محادثة
,convert,3,,"(verb,noun)",يتحول
,crash,3,,"(verb,noun,adjective,adverb)",يتحطم
,database,3,,(noun),قاعدة البيانات
,deliver,3,,(verb),يسلم
,dependent,3,,"(adjective,noun)",متكل
,desperate,3,,(adjective),متحرّق إلى
,devil,3,,"(noun,verb)",شيطان
,diet,3,,"(noun,verb)",نظام عذائي
,enthusiasm,3,,(noun),حماس
,error,3,,(noun),خطأ
,exciting,3,,(adjective),مثير
,explanation,3,,(noun),توضيح
,extend,3,,(verb),يمتد
,farmer,3,,(noun),مزارع
,fear,3,,"(noun,verb)",يخاف
,fold,3,,"(verb,noun)",طية
,forth,3,,(adverb),إيابا
,friendly,3,,(adjective),ودي
,fuel,3,,"(noun,verb)",وقود
,funny,3,,"(adjective,noun)",مضحك
,gate,3,,(noun),بوابة
,girl,3,,(noun),بنت
,glove,3,,"(noun,verb)",قفاز
,grab,3,,"(verb,noun)",يمسك
,gross,3,,"(adjective,adverb,verb,noun)",إجمالي
,hall,3,,(noun),قاعة
,herself,3,,(pronoun),نفسها
,hide,3,,"(verb,noun)",يخفي
,historian,3,,(noun),مؤرخ
,hospital,3,,(noun),مستشفى
,ill,3,,"(adjective,adverb,noun)",سوف
,injury,3,,(noun),إصابة
,instruction,3,,(noun),تعليمات
,investigate,3,,(verb),يفتش
,jacket,3,,"(noun,verb)",سترة
,lucky,3,,(adjective),محظوظ
,lunch,3,,"(noun,verb)",غداء
,maintenance,3,,(noun),صيانة
,manufacturer,3,,(noun),الشركة المصنعة
,meal,3,,(noun),وجبة
,miss,3,,"(verb,noun)",يفتقد
,monitor,3,,"(noun,verb)",شاشة
,mortgage,3,,"(noun,verb)",القرض العقاري
,negotiate,3,,(verb),تفاوض
,nurse,3,,"(noun,verb)",ممرضة
,pace,3,,"(noun,verb,preposition)",خطوة
,panic,3,,"(noun,verb)",ذعر
,peak,3,,"(noun,verb,adjective)",قمة
,perception,3,,(noun),تصور
,permit,3,,"(verb,noun)",يسمح
,pie,3,,(noun),فطيرة
,plane,3,,"(noun,adjective,verb)",طائرة
,poem,3,,(noun),قصيدة
,presence,3,,(noun),حضور
,proposal,3,,(noun),عرض
,provided,3,,"(past,verb)",متاح
,qualify,3,,(verb),مؤهل
,quote,3,,"(verb,noun)",يقتبس
,realistic,3,,(adjective),حقيقي
,reception,3,,(noun),استقبال
,recover,3,,"(verb,noun)",يتعافى
,replacement,3,,(noun),استبدال
,resolve,3,,"(verb,noun)",حل
,retire,3,,(verb),التقاعد
,revolution,3,,(noun),ثورة
,reward,3,,"(noun,verb)",جائزة
,rid,3,,(verb),يتخلص
,river,3,,(noun),نهر
,roll,3,,"(verb,noun)",لفافة
,row,3,,"(noun,verb)",صف
,sandwich,3,,"(noun,verb)",شطيرة
,shock,3,,"(noun,verb)",صدمة
,sink,3,,"(verb,noun)",حوض
,slip,3,,"(verb,noun)",ينزلق
,son,3,,(noun),ابن
,sorry,3,,(adjective),آسف
,spare,3,,"(adjective,noun,verb)",إضافي
,speech,3,,(noun),خطاب
,spite,3,,"(noun,verb)",بالرغم من ذلك
,spray,3,,"(noun,verb)",رذاذ
,surprise,3,,"(noun,verb)",مفاجأة
,suspect,3,,"(verb,noun,adjective)",يشتبه
,sweet,3,,"(adjective,noun)",حلو
,swing,3,,"(verb,noun)",يتأرجح
,tea,3,,(noun),شاي
,till,3,,"(noun,verb)",حتى
,transition,3,,"(noun,verb)",انتقال
,twist,3,,"(verb,noun)",تطور
,ugly,3,,(adjective),قبيح
,unlikely,3,,(adjective),غير محتمل
,upstairs,3,,"(adjective,noun)",الطابق العلوي
,usual,3,,"(adjective,noun)",المعتاد
,village,3,,(noun),قرية
,warning,3,,(noun),تحذير
,weekend,3,,"(noun,verb)",عطلة نهاية الأسبوع
,weigh,3,,(verb),وزن
,welcome,3,,"(noun,interjection,verb,adjective)",مرحباً
,winner,3,,(noun),الفائز
,worker,3,,(noun),عامل
,writer,3,,(noun),الكاتب
,yard,3,,"(noun,verb)",ساحة
,abroad,2,,"(adverb,noun)",في الخارج
,alarm,2,,"(noun,verb)",إنذار
,anxious,2,,(adjective),قلق
,arrive,2,,(verb),يصل
,assistance,2,,(noun),مساعدة
,attach,2,,(verb),إرفاق
,behave,2,,(verb),تتصرف
,bend,2,,"(noun,verb)",يلوي
,bicycle,2,,"(noun,verb)",دراجة
,bite,2,,"(noun,verb)",يعض
,blind,2,,"(noun,verb,adjective,adverb)",أعمى
,bottle,2,,"(noun,verb)",زجاجة
,brave,2,,"(adjective,noun,verb)",شجاع
,breath,2,,(noun),يتنفس
,briefly,2,,(adverb),باختصار
,buyer,2,,(noun),المشتري
,cable,2,,"(noun,verb)",كابل
,calm,2,,"(adjective,noun,verb)",هادئ
,candle,2,,"(noun,verb)",شمعة
,celebrate,2,,(verb),احتفل
,chest,2,,(noun),صدر
,chocolate,2,,(noun),شوكولاتة
,clerk,2,,"(noun,verb)",موظف
,cloud,2,,"(noun,verb)",سحاب
,comprehensive,2,,(adjective),شامل
,concentrate,2,,"(verb,noun)",يركز
,concert,2,,"(noun,verb)",حفلة موسيقية
,conclusion,2,,(noun),خاتمة
,contribution,2,,(noun),مساهمة
,convince,2,,(verb),يقنع
,cookie,2,,(noun),ملف تعريف الارتباط
,counter,2,,"(noun,verb,adverb,adjective)",عداد
,courage,2,,(noun),شجاعة
,curious,2,,(adjective),فضولي
,dad,2,,(noun),أب
,desk,2,,(noun),مكتب
,dirty,2,,"(adjective,verb)",متسخ
,disagree,2,,(verb),لا أوافق
,downtown,2,,"(adjective,adverb,noun)",وسط البلد
,drawer,2,,(noun),درج
,establish,2,,(verb),يٌرسّخ
,establishment,2,,(noun),إنشاء
,estimate,2,,"(verb,noun)",تقدير
,examination,2,,(noun),فحص
,flower,2,,"(noun,verb)",ورد
,garbage,2,,(noun),قمامة
,grand,2,,"(adjective,noun)",كبير
,grandfather,2,,"(noun,verb)",جد
,grocery,2,,(noun),خضروات
,harm,2,,"(noun,verb)",ضرر
,honest,2,,"(adjective,adverb)",أمين
,honey,2,,(noun),عسل
,ignore,2,,(verb),يتجاهل
,imply,2,,(verb),ضمنا
,impression,2,,(noun),انطباع
,impressive,2,,(adjective),بديع
,improvement,2,,(noun),تحسين
,independence,2,,(noun),استقلال
,informal,2,,(adjective),غير رسمي
,inner,2,,(adjective),داخلي
,insect,2,,(noun),حشرة
,insist,2,,(verb),يصر
,inspection,2,,(noun),تقتيش
,inspector,2,,(noun),مفتش
,king,2,,(noun),ملِك
,knee,2,,"(noun,verb)",ركبة
,ladder,2,,(noun),سُلُّم
,lawyer,2,,"(noun,verb)",محامي
,leather,2,,"(noun,adjective,verb)",جلد
,load,2,,"(noun,verb)",حمولة
,loose,2,,"(adjective,verb)",مرتخي
,male,2,,"(adjective,noun)",ذكر
,menu,2,,(noun),قائمة طعام
,mine,2,,"(pronoun,noun,verb)",مِلكِي
,mirror,2,,"(noun,verb)",مرآة
,moreover,2,,(adverb),علاوة على ذلك
,neck,2,,"(noun,verb)",رقبة
,penalty,2,,(noun),جزاء
,pension,2,,"(noun,verb)",مَعاش
,piano,2,,(noun),بيانو
,plate,2,,"(noun,verb)",طبق
,pleasant,2,,(adjective),جَذّاب
,pleased,2,,"(past,verb)",مسرور
,potato,2,,(noun),البطاطس
,profession,2,,(noun),مهنة
,professor,2,,(noun),أستاذ
,prompt,2,,"(verb,noun,adjective)",اِسْتَدْعَى
,proposed,2,,"(past,verb)",مقترح
,purple,2,,"(noun,adjective,verb)",أرجواني
,pursue,2,,(verb),يتحرى
,quantity,2,,(noun),كمية
,quiet,2,,"(adjective,noun,verb)",هادئ
,reaction,2,,(noun),رد فعل
,refuse,2,,"(verb,noun)",رفض
,regret,2,,"(verb,noun)",يندم
,remaining,2,,(verb),متبقي
,requirement,2,,(noun),متطلبات
,reveal,2,,"(verb,noun)",يكشف
,ruin,2,,"(noun,verb)",يخرب
,rush,2,,"(verb,noun)",يسرع
,salad,2,,(noun),سلطة
,sexual,2,,(adjective),جنسي
,shake,2,,"(verb,noun)",هزة
,shift,2,,"(verb,noun)",يحول
,shine,2,,"(verb,noun)",يشرق
,ship,2,,"(noun,verb)",سفينة
,sister,2,,(noun),أخت
,skirt,2,,"(noun,verb)",جيبة
,slice,2,,"(noun,verb)",شريحة
,snow,2,,"(noun,verb)",ثلج
,specialist,2,,"(noun,adjective)",متخصص
,specify,2,,(verb),تحديد
,steal,2,,"(verb,noun)",يسرق
,stroke,2,,"(noun,verb)",سكتة دماغية
,strongly,2,,(adverb),بقوة
,suck,2,,"(verb,noun)",مص
,sudden,2,,(adjective),مفاجئ
,supermarket,2,,(noun),سوبر ماركت
,surround,2,,"(verb,noun)",محيط
,switch,2,,"(noun,verb)",يُحوّل
,terrible,2,,(adjective),رهيب
,tired,2,,"(past,verb)",مرهق
,tongue,2,,(noun),لسان
,trash,2,,"(noun,verb)",نفاية
,tune,2,,"(noun,verb)",لحن
,unable,2,,(adjective),غير قادر
,warn,2,,(verb),تحذير
,weak,2,,(adjective),ضعيف
,weakness,2,,(noun),ضعف
,wedding,2,,(noun),قِرَان
,wooden,2,,(adjective),خشبي
,worried,2,,"(past,verb)",قلق
,yeah,2,,"(adverb,interjection)",نعم
,zone,2,,"(noun,verb)",منطقة
,accuse,1,,(verb),يتهم
,admire,1,,(verb),يُعجَب ب
,admit,1,,(verb),يعترف
,adopt,1,,(verb),يتبنى
,affair,1,,(noun),شأن
